"ID","Run","anxious","peppy","peeved","happy","tired","relaxed","sad","calm","exhausted","irritated"
"sub-CH06IN24","6",1,4,1,4,1,6,1,6,1,1
"sub-CH06IN24","9",1,5,1,4,2,6,1,6,2,1
"sub-CH06LI22","1",1,4,1,4,2,5,1,4,1,1
"sub-CH06LI22","4",1,3,1,2,3,2,1,4,2,2
"sub-CH06LI22","5",1,4,1,4,4,4,1,4,2,1
"sub-CH06LI22","6",1,4,1,3,3,4,1,4,2,1
"sub-CH06LI22","9",1,4,1,3,3,4,1,4,2,1
"sub-CH06ND30","1",1,4,1,3,4,5,1,5,1,1
"sub-CH06ND30","4",1,1,1,3,6,5,1,6,3,1
"sub-CH06ND30","5",1,3,1,3,4,5,1,6,3,1
"sub-CH06ND30","6",1,3,1,3,4,5,1,5,3,1
"sub-CH06ND30","9",1,4,1,3,4,5,1,5,3,1
"sub-CH06NK10","1",2,4,1,5,4,3,2,4,4,2
"sub-CH06NK10","4",1,2,1,3,5,1,3,1,6,4
"sub-CH06NK10","5",1,2,1,3,6,3,2,3,6,4
"sub-CH06NK10","6",1,2,1,2,6,2,4,2,6,4
"sub-CH06NK10","9",1,1,3,2,7,1,3,3,7,3
"sub-CH06NK12","1",1,1,1,5,1,6,1,7,1,1
"sub-CH06NK12","4",1,4,1,5,2,6,1,7,1,1
"sub-CH06NK12","5",1,5,1,5,1,6,1,7,1,1
"sub-CH06NK12","6",1,5,1,5,1,6,1,7,1,1
"sub-CH06NK12","9",1,5,1,5,1,7,1,7,1,1
"sub-CH06RT03","1",1,4,1,5,1,5,1,5,2,1
"sub-CH06RT03","4",1,4,1,4,3,4,1,5,2,1
"sub-CH06RT03","5",1,4,1,4,2,5,1,4,2,1
"sub-CH06RT03","6",1,3,1,4,3,4,1,4,2,1
"sub-CH06RT03","9",1,3,1,4,2,4,1,4,2,1
"sub-CH06UT07","1",1,3,1,4,3,6,1,6,2,1
"sub-CH06UT07","4",1,2,2,3,5,4,1,3,5,1
"sub-CH06UT07","5",1,4,1,4,3,4,1,5,2,1
"sub-CH06UT07","6",4,4,1,4,2,3,1,4,2,1
"sub-CH06UT07","9",3,2,1,3,3,3,1,1,4,1
"sub-CH07AD15","1",1,2,1,3,4,4,3,5,3,1
"sub-CH07AD15","4",1,2,2,2,5,3,2,4,4,2
"sub-CH07AD15","5",1,1,1,4,2,5,1,5,2,2
"sub-CH07AD15","6",1,2,1,3,4,5,1,5,3,3
"sub-CH07AD15","9",1,2,1,3,4,5,1,5,4,3
"sub-CH07DO06","1",1,5,1,5,1,6,1,6,1,1
"sub-CH07DO06","4",1,5,1,5,2,5,1,6,1,1
"sub-CH07DO06","5",1,5,1,5,1,5,1,6,1,1
"sub-CH07DO06","6",1,5,1,5,2,6,1,6,1,1
"sub-CH07DO06","9",1,5,1,5,2,5,1,5,1,1
"sub-CH07IM11","1",1,4,1,6,2,5,1,6,2,1
"sub-CH07IM11","4",1,5,5,4,2,5,1,4,2,5
"sub-CH07IM11","5",1,5,2,5,3,6,1,6,3,1
"sub-CH07IM11","6",1,4,1,4,3,6,1,6,4,1
"sub-CH07IM11","9",1,4,1,5,5,4,1,5,4,1
"sub-CH07LF13","1",1,1,1,4,6,5,1,6,6,1
"sub-CH07LF13","4",1,1,1,1,7,7,1,7,1,1
"sub-CH07LF13","5",1,1,1,1,5,5,1,5,1,1
"sub-CH07LF13","6",1,3,1,3,4,5,1,5,1,1
"sub-CH07LF13","9",1,1,1,1,5,1,1,1,1,1
"sub-CH07LF18","1",1,1,1,4,3,5,1,6,2,1
"sub-CH07LF18","4",1,1,1,4,2,5,1,5,3,1
"sub-CH07LF18","5",1,1,1,4,3,5,1,5,4,2
"sub-CH07LF18","6",1,1,1,4,6,4,2,4,5,3
"sub-CH07LF18","9",1,1,1,4,4,3,2,4,5,2
"sub-CH07NK17","1",1,4,1,5,2,5,1,6,1,1
"sub-CH07NK17","4",1,4,1,4,2,5,1,6,2,1
"sub-CH07NK17","5",1,4,1,4,2,5,1,6,1,1
"sub-CH07NK17","6",1,4,2,4,2,5,2,5,2,1
"sub-CH07NK17","9",1,4,1,4,2,5,1,5,1,1
"sub-CH07RK18","1",1,3,1,4,4,5,3,5,3,1
"sub-CH07RK18","4",1,2,3,2,5,6,1,6,5,2
"sub-CH07RK18","5",1,2,1,2,5,5,1,5,4,2
"sub-CH07RK18","6",1,1,1,2,7,7,1,5,6,2
"sub-CH07RK18","9",1,1,3,1,5,3,1,5,5,2
"sub-CH07US17","1",2,4,1,5,4,5,1,7,2,1
"sub-CH07US17","4",4,4,5,3,6,3,4,2,6,5
"sub-CH07US17","5",1,3,2,5,5,5,1,6,5,2
"sub-CH07US17","6",3,3,4,4,6,5,4,6,5,1
"sub-CH07US17","9",1,3,3,4,7,3,2,5,7,3
"sub-CH08LO21","1",2,6,1,6,3,5,2,6,3,1
"sub-CH08LO21","4",1,5,2,5,2,6,2,7,2,1
"sub-CH08LO21","5",1,4,1,6,2,7,1,7,2,1
"sub-CH08LO21","6",1,6,2,5,2,6,1,6,2,1
"sub-CH08LO21","9",1,5,2,6,2,6,2,6,3,1
"sub-CH09AS13","1",1,4,1,5,1,5,1,5,1,1
"sub-CH09AS13","4",1,5,1,5,1,5,1,5,1,1
"sub-CH09AS13","5",1,5,1,5,1,6,1,6,1,1
"sub-CH09AS13","6",1,5,1,7,1,5,1,5,1,1
"sub-CH09AS13","9",1,5,1,6,1,6,1,5,1,1
"sub-CH09EN08","1",1,4,1,4,2,4,2,4,1,1
"sub-CH09EN08","4",1,4,3,4,3,3,2,4,3,2
"sub-CH09EN08","5",1,4,1,4,3,5,1,5,4,1
"sub-CH09EN08","6",1,4,1,4,2,4,1,4,3,1
"sub-CH09EN08","9",1,4,2,4,2,5,1,4,4,1
"sub-CH09WE03","1",1,1,1,4,1,6,1,6,2,1
"sub-CH09WE03","4",1,1,1,4,2,6,1,6,3,1
"sub-CH09WE03","5",1,1,1,4,1,6,1,6,1,1
"sub-CH09WE03","6",1,2,1,4,1,6,1,6,2,1
"sub-CH09WE03","9",1,1,1,3,1,5,1,6,2,1
"sub-CH10ER14","1",2,3,2,4,3,4,2,3,1,3
"sub-CH10ER14","4",1,2,2,2,3,4,2,3,4,3
"sub-CH10ER14","5",2,2,2,3,2,3,2,5,4,4
"sub-CH10ER14","6",2,3,1,3,3,4,2,5,3,3
"sub-CH10ER14","9",2,2,1,3,4,3,2,4,5,3
"sub-CH10NG24","1",1,3,2,6,4,5,2,6,3,1
"sub-CH10NG24","4",1,2,2,5,6,5,2,5,4,1
"sub-CH10NG24","5",1,4,1,5,5,5,1,5,4,1
"sub-CH10NG24","6",1,3,2,5,5,5,2,5,5,1
"sub-CH10NG24","9",1,4,2,4,5,5,2,5,5,1
"sub-CK04NS18","1",1,4,1,4,4,5,1,5,2,1
"sub-CK04NS18","4",1,3,1,2,4,5,1,5,5,1
"sub-CK04NS18","5",1,2,1,2,3,5,1,5,3,1
"sub-CK04NS18","6",1,2,1,2,3,6,1,6,2,1
"sub-CK04NS18","9",1,3,1,3,4,6,1,6,2,1
"sub-CK05EN08","1",1,1,1,6,1,6,1,7,1,1
"sub-CK05EN08","4",1,1,1,5,2,6,1,7,2,1
"sub-CK05EN08","5",1,1,1,6,2,7,1,7,2,1
"sub-CK05EN08","6",1,1,1,6,2,7,1,7,2,1
"sub-CK05EN08","9",1,1,1,6,2,7,1,7,2,1
"sub-CK05EN28","1",2,4,1,4,3,3,1,5,1,1
"sub-CK05EN28","4",1,3,1,3,3,5,2,5,4,1
"sub-CK05EN28","5",1,4,1,4,2,5,1,5,2,1
"sub-CK05EN28","6",2,3,1,4,2,5,1,5,2,1
"sub-CK05EN28","9",1,2,3,2,4,3,3,3,4,1
"sub-CK05ER27","1",1,3,1,4,6,4,3,6,4,1
"sub-CK05ER27","4",1,2,1,3,4,7,4,7,5,2
"sub-CK05ER27","5",1,4,1,3,4,5,1,6,5,2
"sub-CK05ER27","6",1,4,1,3,5,7,3,7,5,2
"sub-CK05ER27","9",1,3,2,3,5,4,3,2,6,4
"sub-CK05RD15","1",1,3,1,4,2,5,3,7,2,1
"sub-CK05RD15","4",1,1,1,4,4,1,2,2,5,3
"sub-CK05RD15","5",1,1,2,2,5,1,2,2,5,4
"sub-CK05RD15","6",1,1,2,2,5,1,2,2,6,4
"sub-CK05RD15","9",1,1,2,3,6,1,2,1,7,4
"sub-CK06ED08","1",1,3,1,4,2,5,1,5,2,1
"sub-CK06ED08","4",1,3,1,3,2,3,1,6,2,1
"sub-CK06ED08","5",1,3,1,4,2,5,1,5,2,1
"sub-CK06ED08","6",1,5,1,5,1,5,1,6,3,1
"sub-CK06ED08","9",1,3,1,5,2,4,1,5,3,1
"sub-CK06IN16","1",1,3,1,4,1,5,1,6,1,1
"sub-CK06IN16","4",1,1,2,2,2,4,1,5,2,1
"sub-CK06IN16","5",1,1,1,4,2,5,1,5,1,1
"sub-CK06IN16","6",1,1,1,3,2,5,1,5,1,1
"sub-CK06IN16","9",1,1,1,3,2,5,1,5,2,1
"sub-CK06ST11","1",1,4,1,5,4,5,1,5,4,1
"sub-CK06ST11","4",1,3,1,5,5,4,1,5,5,1
"sub-CK06ST11","5",1,5,1,5,4,5,1,5,3,1
"sub-CK06ST11","6",1,5,1,5,4,3,1,4,5,1
"sub-CK06ST11","9",1,5,1,5,4,5,1,3,4,1
"sub-CK06US15","1",1,3,1,5,5,5,3,6,2,1
"sub-CK06US15","4",1,4,1,4,5,4,2,5,7,1
"sub-CK06US15","5",1,3,1,3,5,5,2,6,6,1
"sub-CK06US15","6",1,3,1,4,6,5,1,6,7,1
"sub-CK06US15","9",1,4,1,4,6,5,1,5,7,1
"sub-CK07ER13","1",1,4,2,5,2,6,1,6,2,2
"sub-CK07ER13","4",1,4,1,4,4,7,1,7,4,1
"sub-CK07ER13","5",1,3,1,5,4,7,1,7,2,1
"sub-CK07ER13","6",1,4,1,5,2,7,1,7,2,1
"sub-CK07ER13","9",1,4,1,5,2,7,1,7,1,1
