SubsetIndex,rep_Practice,ImageFilePrac,ColourPrac,CorrAnsPrac,TriggerConditionPrac,TriggerSpecificPrac,Primer,Condition,ImageFile,Colour,CorrAns,TriggerCondition,TriggerSpecific,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Practices.thisRepN,Practices.thisTrialN,Practices.thisN,Practices.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,CountdownLoop.thisRepN,CountdownLoop.thisTrialN,CountdownLoop.thisN,CountdownLoop.thisIndex,jitter,jitter_black,Fixation.started,Fixation.stopped,square1.started,square1.stopped,image_black_practice.started,image_black_practice.stopped,image_prompt_practice.started,image_prompt_practice.stopped,response_practice.keys,response_practice.corr,response_practice.rt,breakslide.keys,breakslide.rt,Trigger_Picture,Trigger_Target,Trigger_Response,image_black.started,image_black.stopped,image_prompt.started,image_prompt.stopped,Response.keys,Response.corr,Response.rt,Response.started,Response.stopped,square2.started,square2.stopped,showReminder,Reminder_Errors_Resp.keys,Reminder_Errors_Resp.started,Reminder_Errors_Resp.stopped,break_slide.started,break_slide.stopped,participant,session,EEGPort,LogFilesFolder,date,expName,psychopyVersion,frameRate,
Subset2,3,,,,,,Stimuli/man_25.png,erotic_man,Stimuli/man_22.png,red,2,3,32,0,1,1,1,,,,,0,18,18,101,,,,,1.2782538117535334,1.0461202818049027,574.9040020886296,None,574.9040020886296,None,,,,,,,,,,32,99,1,576.2551497410368,577.3060463786642,577.2726825618392,None,2,1,0.36063020607798535,1.0489257996796368,None,577.2726825618392,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/neutral_65.png,neutral_man_woman,Stimuli/neutral_63.png,yellow,3,4,46,0,1,1,1,,,,,0,19,19,65,,,,,1.0431661529052298,1.1342573861677416,577.6563416601402,None,577.6563416601402,None,,,,,,,,,,46,99,1,578.7572796473833,579.891578242663,579.8748960425437,None,3,1,0.5823548715979996,1.1396449621297506,None,579.8748960425437,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/neutral_couple_65.png,neutral_couple,Stimuli/neutral_couple_62.png,red,2,5,56,0,1,1,1,,,,,0,20,20,2,,,,,1.480585026746181,1.102178149367016,580.4754085735913,None,580.4754085735913,None,,,,,,,,,,56,99,1,581.9933651003412,583.1109826623324,583.0776197206324,None,2,1,0.44058154917365755,1.1056360621169006,None,583.0776197206324,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/neutral_couple_35.png,neutral_couple,Stimuli/neutral_couple_34.png,blue,4,5,53,0,1,1,1,,,,,0,21,21,16,,,,,1.054818345150725,1.4184665629635578,583.5446851522065,None,583.5446851522065,None,,,,,,,,,,53,99,1,584.6623038810303,586.080174499757,586.0634928830532,None,4,1,0.27763051382862614,1.423721057091825,None,586.0634928830532,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/tree_15.png,tree,Stimuli/tree_14.png,blue,4,1,11,0,1,1,1,,,,,0,22,22,88,,,,,1.4031920490518723,1.3985189899516741,586.3637494402847,None,586.3637494402847,None,,,,,,,,,,11,99,1,587.8316663676669,589.2328547862726,589.2161737529841,None,4,1,0.5918832234310685,1.4035541125740565,None,589.2161737529841,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/neutral_85.png,neutral_man_woman,Stimuli/neutral_83.png,yellow,3,4,48,0,1,1,1,,,,,0,23,23,108,,,,,1.279323400635179,1.4537630792485097,589.8333664421971,None,589.8333664421971,None,,,,,,,,,,48,99,1,591.1678362701041,592.6357517389442,592.6023887972442,None,3,1,0.41862672599927464,1.460511860121187,None,592.6023887972442,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/man_25.png,erotic_man,Stimuli/man_21.png,green,1,3,32,0,1,1,1,,,,,0,24,24,45,,,,,1.109672869303889,1.1488725809982487,593.0527717369914,None,593.0527717369914,None,,,,,,,,,,32,99,1,594.2204326905558,595.3714105688741,595.3547371199966,None,1,1,0.6841919030593999,1.15364636524464,None,595.3547371199966,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/positiv_75.png,positive_man_woman,Stimuli/positiv_72.png,red,2,6,67,0,1,1,1,,,,,0,25,25,76,,,,,1.302738450097796,1.361206874615542,596.0553259327007,None,596.0553259327007,None,,,,,,,,,,67,99,1,597.4398441112171,598.8076655042096,598.7743048961747,None,2,1,0.4435604718091781,1.3670249716669787,None,598.7743048961747,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/woman_45.png,erotic_woman,Stimuli/woman_43.png,yellow,3,7,74,0,1,1,1,,,,,0,26,26,84,,,,,1.3571398598869575,1.4143913792125422,599.2413679940837,None,599.2413679940837,None,,,,,,,,,,74,99,1,600.6425660390578,602.0604334489963,602.0437500820426,None,3,1,0.6410255288301414,1.4203038722771453,None,602.0437500820426,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
Subset2,3,,,,,,Stimuli/tree_25.png,tree,Stimuli/tree_23.png,yellow,3,1,12,0,1,1,1,,,,,0,27,27,44,,,,,1.155169994309949,1.1624539619347827,602.7109864545364,None,602.7109864545364,None,,,,,,,,,,12,99,1,603.9286913830911,605.0963482527422,605.0796748038629,None,3,1,0.3660387650834309,1.1755743512767367,None,605.0796748038629,None,False,None,None,None,,,AM04EN20b,1,0xC010,G:\Experimente\CoScience\Tasks\Logfiles\,2022_Feb_16_1133,Stroop,2020.1.3,59.94717155343167,
